Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
types of vape mods,135,281,1711,2362,7.89%,11.9%,3.93,3.07
best aio pod,135,68,1163,610,11.61%,11.15%,6.14,7.81
novo 2 charge time,135,84,454,273,29.74%,30.77%,1.04,1.36
smallest vapes,135,122,384,413,35.16%,29.54%,1.11,1.35
vaporesso tarot mini,134,137,2616,2750,5.12%,4.98%,6.29,5.5
freemax twister vape,134,82,1293,1441,10.36%,5.69%,4.6,5.54
smok novo 2 pre filled pods,134,115,299,186,44.82%,61.83%,1.08,1.17
uwell crown pod,133,0,13179,0,1.01%,0%,9.62,0
things like juuls,133,74,316,208,42.09%,35.58%,1.01,1.48
top 10 pod systems,133,87,268,306,49.63%,28.43%,1.57,3.61
caliburn,132,78,102295,112030,0.13%,0.07%,6.4,9.95
twister freemax,132,83,1791,2244,7.37%,3.7%,4.43,5.25
best vape tanks 2019,132,104,1737,1966,7.6%,5.29%,6.07,7.01
ohm too low,132,238,1197,1509,11.03%,15.77%,4.8,5.6
pod system terbaik,131,161,1326,2297,9.88%,7.01%,4.98,7.31
best refillable pod vapes,131,79,319,185,41.07%,42.7%,1.22,1.22
smok stick,130,154,12240,14733,1.06%,1.05%,9.29,6.07
vape nicotine levels,130,107,3089,3998,4.21%,2.68%,4.41,4.54
smok rpm40 rba,130,833,3002,17294,4.33%,4.82%,6.22,5.5
buy vape pen,130,0,2988,0,4.35%,0%,4.6,0
best cheap vapes,130,83,1905,2036,6.82%,4.08%,6.85,9.66
smok novo 2 pod,130,67,1644,2624,7.91%,2.55%,6.43,8.31
sigelei shikra coils,129,118,1233,1140,10.46%,10.35%,4.43,4.27
best pod devices,129,236,421,746,30.64%,31.64%,1.22,2.52
mod vape,128,122,18552,23863,0.69%,0.51%,9.72,8.11
smok alien 220w,128,286,10585,16638,1.21%,1.72%,13.04,9.12
stick v8,128,348,5502,7470,2.33%,4.66%,10.23,7.7
ohms too low,128,180,1843,1107,6.95%,16.26%,5.06,4.42
pod 2019,128,131,1255,1875,10.2%,6.99%,4.42,5.26
freemax twister 80w starter kit,128,67,814,1071,15.72%,6.26%,4.43,4.9
voopoo navi,126,0,13228,0,0.95%,0%,9,0
rda vape meaning,126,101,1217,1438,10.35%,7.02%,1.39,1.59
phix vape,125,125,8959,10005,1.4%,1.25%,7.65,6.95
best vape pod systems,125,132,307,386,40.72%,34.2%,1.13,2.38
vapes that look like juuls,124,130,1080,981,11.48%,13.25%,1.93,1.16
relx vs caliburn,124,160,584,517,21.23%,30.95%,3.75,3.28
mini vape,123,90,7034,5215,1.75%,1.73%,9.03,10.99
smok slm pods,123,0,963,0,12.77%,0%,3.32,0
the best pod 2019,123,83,267,276,46.07%,30.07%,1.7,2.84
rta meaning vape,122,223,1224,1698,9.97%,13.13%,1,1
uwell yearn,121,0,4536,0,2.67%,0%,10.16,0
smok vape novo,121,88,2525,2368,4.79%,3.72%,4.35,4.39
smok novo wont charge,121,261,1165,1758,10.39%,14.85%,4.34,3.69
pod recommended,121,0,1154,0,10.49%,0%,4.44,0
voopoo too,120,120,5833,10585,2.06%,1.13%,7.17,5.18
top vape mods,120,313,3121,3845,3.84%,8.14%,7.62,6.9
ipriv,120,169,2506,3138,4.79%,5.39%,2.42,1.48
novo 2 mesh pod,120,68,1593,933,7.53%,7.29%,4.84,5.28
infinix pods,119,106,2202,3525,5.4%,3.01%,6.25,7.21
vape rba,119,82,1254,1111,9.49%,7.38%,7.33,7.37
rta vape meaning,119,154,855,843,13.92%,18.27%,1.03,1.05
best fruity vape juice 2019,119,123,396,414,30.05%,29.71%,1.97,1.34
smok fetch pro,118,0,4941,0,2.39%,0%,14.08,0
vape pod terbaik,118,168,2535,3379,4.65%,4.97%,4.76,8.22
xfeng baby,118,0,1603,0,7.36%,0%,2.98,0
highest nicotine juice,118,136,1481,877,7.97%,15.51%,1,1.25
rda rta,118,90,830,714,14.22%,12.61%,6.07,5.94
best salt nic pod system,118,138,286,261,41.26%,52.87%,2.09,1.13
top vape pod,118,112,272,362,43.38%,30.94%,1.81,2.94
top pod vapes,117,178,363,560,32.23%,31.79%,2.41,2.37
resa stick,116,259,7360,10816,1.58%,2.39%,6.83,6
pod vape pen,116,0,744,0,15.59%,0%,2.91,0
devices similar to juul,116,63,331,160,35.05%,39.38%,1.53,1.56
the best vape pod,116,65,246,246,47.15%,26.42%,1.81,3.53
dot aio,115,87,6709,5564,1.71%,1.56%,7.87,7.5
smok website,115,88,4482,5334,2.57%,1.65%,2.84,3.22
smok stick x8,115,141,3591,5136,3.2%,2.75%,6.78,6.65
smok novo starter kit,115,116,2239,2111,5.14%,5.5%,6.03,6.13
vape pod price,115,123,1151,1264,9.99%,9.73%,3.64,3.37
smok rpm40 wont turn on,115,0,464,0,24.78%,0%,3.68,0
smok novo 2 replacement pods,114,0,1313,0,8.68%,0%,6.42,0
suorin air vs air plus,114,81,589,235,19.35%,34.47%,2.16,2.1
best salt nic mod,114,150,332,269,34.34%,55.76%,2.17,1.23
types of juuls,113,258,1960,1960,5.77%,13.16%,2.23,1.75
burnt taste vape,113,167,1534,1173,7.37%,14.24%,2.29,1.17
pod system vape 2019,113,140,335,511,33.73%,27.4%,2.81,2.95
vaper shop,112,124,2307,2453,4.85%,5.06%,8.21,8.66
best mtl pod system,112,153,727,800,15.41%,19.12%,5.74,5.18
juul type vapes,112,125,427,492,26.23%,25.41%,1.46,1.59
smok vape won't charge,112,0,390,0,28.72%,0%,2,0
does vape juice go bad,111,191,3278,3443,3.39%,5.55%,2.19,2.06
pod devices,111,0,1698,0,6.54%,0%,3.95,0
smok prince ile wat,111,113,183,175,60.66%,64.57%,1,1
nord kit,110,179,14633,27298,0.75%,0.66%,6.55,6.84
vapepen,110,90,3448,3717,3.19%,2.42%,5.99,6.15
smok nova 2,110,0,2620,0,4.2%,0%,6.54,0
how much nicotine in vape,110,149,875,984,12.57%,15.14%,3.06,2.37
v8 stick vape,110,87,665,589,16.54%,14.77%,2.28,3.05
best vape for salt nic,110,227,439,454,25.06%,50%,2.31,1.96
best vape pods 2020,110,0,366,0,30.05%,0%,3.08,0
best flavor pod,110,114,235,273,46.81%,41.76%,1.42,2.93
difference between rpm and nord,110,0,199,0,55.28%,0%,1.01,0
stick vape,109,117,12567,17964,0.87%,0.65%,3.69,1.8
morph 219,109,174,2765,3534,3.94%,4.92%,5.8,4.82
smok products,109,62,2318,2535,4.7%,2.45%,6.81,7.57
smok pod system,108,136,5676,7734,1.9%,1.76%,4.2,5.6
suorin air plus pod,108,0,3686,0,2.93%,0%,9.56,0
my vape tastes burnt,108,257,637,767,16.95%,33.51%,1.02,1.06
vape pens like juul,108,77,344,251,31.4%,30.68%,1.1,1.35
smok novo 2 light meaning,108,95,247,187,43.72%,50.8%,1,1.02
smok not working,108,181,208,394,51.92%,45.94%,1.66,1.68
vape usa,107,0,4534,0,2.36%,0%,8.18,0
vape shope,107,105,3359,3310,3.19%,3.17%,3.25,3.19
highest nicotine vape juice,107,249,1753,2747,6.1%,9.06%,1,1.07
best vape brand,106,0,2750,0,3.85%,0%,4.6,0
30ml vape tank,106,0,1178,0,9%,0%,4.77,0
pod vape price,106,146,1005,1125,10.55%,12.98%,2.4,2.58
best vape stick 2019,106,116,233,267,45.49%,43.45%,1.37,1.67
difference between nord and rpm,106,0,201,0,52.74%,0%,1.21,0
smok starter kit,105,106,5748,7293,1.83%,1.45%,8.56,8.97
smok priv one,105,182,4508,5754,2.33%,3.16%,6.25,5.53
top vape brands,105,0,3114,0,3.37%,0%,5.8,0
juul substitute,105,0,465,0,22.58%,0%,3.05,0
vaporesso gen,104,323,19007,44391,0.55%,0.73%,10.42,9.1
smok v9 max,104,233,4690,8216,2.22%,2.84%,8.15,6.4
smok nord specs,104,155,1070,1904,9.72%,8.14%,1.42,1.84
types of vapes like juuls,104,0,457,0,22.76%,0%,1.17,0
new pod 2019,104,110,361,593,28.81%,18.55%,1.46,3.04
new pod 2020,104,0,331,0,31.42%,0%,2.22,0
nicotine devices like juul,104,99,231,223,45.02%,44.39%,1.66,1.14
best replacement for juul,104,0,164,0,63.41%,0%,1.64,0
smok prince,103,120,11534,13693,0.89%,0.88%,8.54,8.25
pod aio terbaik,103,0,2631,0,3.91%,0%,5.8,0
ohm too low smok,103,81,824,540,12.5%,15%,3.61,4.73
vape devices like juul,103,0,435,0,23.68%,0%,2.59,0
caliburn vs relx,103,122,359,345,28.69%,35.36%,3.38,3.58
best salt nic vapes 2020,103,0,271,0,38.01%,0%,1.97,0
why does my vape taste burnt even with a new coil,102,193,1169,1490,8.73%,12.95%,1.2,1.1
rba meaning vape,102,0,1022,0,9.98%,0%,1,0
what is rba vape,102,68,689,377,14.8%,18.04%,1,1
best pod 2019 malaysia,102,0,573,0,17.8%,0%,3.07,0
smok ohms too high,102,130,280,329,36.43%,39.51%,1.16,1.64
support@vaping.com,102,0,119,0,85.71%,0%,1.01,0
drag 2 platinum,101,307,6650,22271,1.52%,1.38%,7.62,7.04
vape starter kits,101,166,5482,4997,1.84%,3.32%,8.62,8.57
smok.com,101,192,4717,5310,2.14%,3.62%,5.99,5.82
vape mods 2019,101,513,2075,3893,4.87%,13.18%,6.87,3.58
best smok tank,101,76,917,943,11.01%,8.06%,4.47,6.55
smok ohm too low,101,73,426,458,23.71%,15.94%,2.4,4.45
why are juul pods so expensive,101,145,359,330,28.13%,43.94%,1.04,1.09
juul like products,101,0,349,0,28.94%,0%,2.48,0
top 10 pod vapes,101,96,181,276,55.8%,34.78%,1.11,2.92
vaping com,101,353,125,385,80.8%,91.69%,1,1
vapor pen,100,0,6125,0,1.63%,0%,5,0
smok nord won't turn on,100,315,1256,1886,7.96%,16.7%,4.34,3.11
sigelei chronus coils,100,76,846,475,11.82%,16%,3.42,3.04
is salt nic bad for you,100,149,837,1352,11.95%,11.02%,2.75,3.49
is salt nicotine bad,100,142,431,302,23.2%,47.02%,1.9,1.06
best mod pod,100,0,409,0,24.45%,0%,2.51,0
pod terbaik 2019 indonesia,99,503,3992,7438,2.48%,6.76%,1.99,7.24
throat hit,99,146,2132,2025,4.64%,7.21%,3.69,3.93
best mods 2020,99,0,587,0,16.87%,0%,5.83,0
best pod flavors,99,131,519,666,19.08%,19.67%,3.7,4.41
novo vape pen,99,0,302,0,32.78%,0%,1.93,0
drop vape,98,168,6838,8608,1.43%,1.95%,5.24,4.21
smok novo 1,98,0,2000,0,4.9%,0%,5.74,0
novo 2 not hitting,98,76,1964,992,4.99%,7.66%,5.37,4.73
atomizer short smok,98,0,1098,0,8.93%,0%,5.53,0
pod 2020,98,0,739,0,13.26%,0%,5.31,0
best pods 2020,98,0,380,0,25.79%,0%,3.53,0
ohms too high smok,98,131,342,460,28.65%,28.48%,2.3,1.92
top pod system 2019,98,156,282,542,34.75%,28.78%,3.13,3.35
smok novo pre filled pods,98,84,185,143,52.97%,58.74%,1.08,1.15
vape juice nicotine levels,97,0,1901,0,5.1%,0%,4.24,0
juul battery mah,97,233,1343,1945,7.22%,11.98%,2.76,1.42
smok priv n19 replacement coils,97,0,567,0,17.11%,0%,2.89,0
top pod systems,97,64,223,256,43.5%,25%,1.91,4.12
best compact vapes,97,88,168,155,57.74%,56.77%,1.43,1.65
online vape store,96,0,4152,0,2.31%,0%,14.86,0
suorin air plus cartridge,96,0,1550,0,6.19%,0%,7.85,0
smok novo 2 not charging,96,0,973,0,9.87%,0%,4.15,0
small vape devices,96,232,335,880,28.66%,26.36%,1.38,1.09
best pod style vape,96,86,204,167,47.06%,51.5%,1.71,2.49
pod aio terbaik 2019,95,70,1206,620,7.88%,11.29%,3.34,4.49
refillable vape,95,0,1012,0,9.39%,0%,7.36,0
smok twister,95,102,529,561,17.96%,18.18%,1.27,1.08
the best pod system,95,148,313,646,30.35%,22.91%,2.77,2.84
smok nord tastes burnt,95,81,258,216,36.82%,37.5%,1.4,1.26
smok tanks,94,114,7752,8111,1.21%,1.41%,8.49,7.68
starter kit vape,94,177,2370,3288,3.97%,5.38%,6.01,4.1
new coil tastes burnt,94,296,1080,1684,8.7%,17.58%,1.73,1.31
best fruit e juice,94,138,915,964,10.27%,14.32%,4.75,3.42
top 10 vape pods,94,97,215,268,43.72%,36.19%,1.25,2.56
smok troubleshooting,94,136,161,215,58.39%,63.26%,1.14,1.02
smok priv v8 kit,93,82,2767,3811,3.36%,2.15%,7.66,7.13
smok ipriv,93,144,1648,2395,5.64%,6.01%,3.44,2.79
vape coil price,93,87,1132,1177,8.22%,7.39%,4.65,4.24
how to clean a vape tank,93,154,666,828,13.96%,18.6%,2.45,2.8
pod based vape,93,0,412,0,22.57%,0%,2.07,0
best vaping pod system,93,86,173,200,53.76%,43%,1.53,2.32
vinci mod pod,92,0,11643,0,0.79%,0%,7.81,0
vaporesso gen kit,92,262,3837,7111,2.4%,3.68%,8.47,6.75
smok priv m17,92,143,2751,4511,3.34%,3.17%,6.56,6.21
smok novo not hitting,92,173,1292,2084,7.12%,8.3%,4.3,4.48
tiny vape,92,76,1017,1190,9.05%,6.39%,2.84,2.46
vaping blog,92,199,733,881,12.55%,22.59%,2.07,1.91
best flavor pod system,92,157,184,409,50%,38.39%,1.42,2.77
vape. com,92,91,135,161,68.15%,56.52%,1.07,1.07
vaping pens,91,104,5041,6560,1.81%,1.59%,7.45,6.48
vape box mod kit,91,169,2923,3693,3.11%,4.58%,6.54,5.91
high nicotine vape juice,91,148,1707,1665,5.33%,8.89%,5.67,3.83
what is rda vape,91,92,879,1042,10.35%,8.83%,1.61,1.92
vape pin,90,70,2496,3224,3.61%,2.17%,3.56,4.77
parts of vape,90,130,2070,2980,4.35%,4.36%,3.29,3.19
pod vape terbaik indonesia 2019,90,88,1874,2039,4.8%,4.32%,4.36,6.72
smok m2 coil,90,124,1132,1391,7.95%,8.91%,4.29,4.02
different types of juuls,90,127,1040,1031,8.65%,12.32%,1.86,1.07
salt vape mods,90,71,690,487,13.04%,14.58%,4.77,4.21
smok v fin battery error,90,96,484,515,18.6%,18.64%,4.11,3.66
vape store online,89,0,4625,0,1.92%,0%,16.62,0
smok ecig,89,150,3428,3539,2.6%,4.24%,6.25,5.06
smok nord 2 release date,89,0,1180,0,7.54%,0%,7.23,0
novo smok vape,89,106,824,1477,10.8%,7.18%,4.21,4.38
triangle vape,89,104,823,863,10.81%,12.05%,1.78,1.23
best smok pod,89,0,227,0,39.21%,0%,1.57,0
what do you need to vape,89,88,157,171,56.69%,51.46%,1.59,1.82
vape rta,88,104,2613,2801,3.37%,3.71%,8.29,6.27
vape.pen,88,88,1855,2330,4.74%,3.78%,4.27,4.87
the truth about vaping,88,388,1373,4357,6.41%,8.91%,9.59,9.43
top vape mods 2019,88,296,800,1199,11%,24.69%,6.51,3.45
rba atomizer,88,113,765,788,11.5%,14.34%,3.78,3.37
why is my smok vape not charging,88,0,514,0,17.12%,0%,1.45,0
smok vape parts,88,90,444,571,19.82%,15.76%,1.63,1.6
best nic salt vapes,88,141,304,272,28.95%,51.84%,2.29,1.22
best pod mods 2020,88,0,238,0,36.97%,0%,2.66,0
best small vape 2019,88,66,123,105,71.54%,62.86%,1.03,1.2
best tank for flavor,87,66,2114,1720,4.12%,3.84%,6.91,8.75
rba tank,87,71,1663,1676,5.23%,4.24%,5.52,5.09
new vape mods 2020,87,0,563,0,15.45%,0%,4.06,0
small vape device,87,0,461,0,18.87%,0%,2.42,0
best refillable pod systems,87,195,312,454,27.88%,42.95%,1.25,3.88
popular vape brands,86,0,3039,0,2.83%,0%,4.21,0
smok stick v8 kit,86,82,2048,2109,4.2%,3.89%,12.35,9.48
vape mods 2020,86,0,469,0,18.34%,0%,4.76,0
vape brands like juul,86,0,345,0,24.93%,0%,2.68,0
nord 2 vs nord,86,0,162,0,53.09%,0%,3.22,0
stick prince,85,111,8938,12621,0.95%,0.88%,9.56,7.27
nord aio 19,85,63,1849,2610,4.6%,2.41%,6.81,6.59
moti vape pod,85,104,1826,3346,4.65%,3.11%,5.96,6.41
are nicotine salts safe,85,219,973,1593,8.74%,13.75%,2.69,2.08
rta rda,85,89,339,529,25.07%,16.82%,5.09,4.94
difference between rpm and nord coils,85,0,251,0,33.86%,0%,1.05,0
ul amulet,85,65,184,178,46.2%,36.52%,1.01,2.28
vinci pod,84,0,20524,0,0.41%,0%,7.94,0
smok vape mod,84,103,7207,8166,1.17%,1.26%,9.43,7.67
smoke pod,84,0,5832,0,1.44%,0%,5.99,0
target pm80,84,0,5193,0,1.62%,0%,8.25,0
vaping kits,84,103,2185,2270,3.84%,4.54%,10.04,10.37
drag nano pod kit,84,0,1807,0,4.65%,0%,6.62,0
vapes pens,84,0,1029,0,8.16%,0%,2.27,0
vapes with pods,84,0,694,0,12.1%,0%,3.04,0
knock off juul,84,0,363,0,23.14%,0%,2.41,0
smok ohms too low,84,0,280,0,30%,0%,1.85,0
best pod system for salt nic,84,137,227,252,37%,54.37%,3.37,1.53
rta tank,83,90,3672,4819,2.26%,1.87%,13.67,12.94
vape rda,83,133,3019,3963,2.75%,3.36%,7.64,5.8
best mod vape 2019,83,261,1071,1727,7.75%,15.11%,7.73,4.94
truth about vaping,83,212,926,2186,8.96%,9.7%,9.78,10.24
smok morph 219 price,83,98,626,468,13.26%,20.94%,2.57,1.62
smok novo 2 salt nic,83,0,229,0,36.24%,0%,1.03,0
best nic salt pod system,83,116,195,233,42.56%,49.79%,2.51,1.24
e cig like juul,83,0,140,0,59.29%,0%,1.59,0
compact vape,82,0,801,0,10.24%,0%,5.37,0
first time vaping,82,78,518,453,15.83%,17.22%,2.8,3.66
how to reset smok vape,82,81,262,244,31.3%,33.2%,1.78,2.27
best naked vape juice,82,91,246,195,33.33%,46.67%,1.01,1
smok mag p3,81,190,6748,5754,1.2%,3.3%,10.2,9.58
smok nord aio 19,81,79,2269,2926,3.57%,2.7%,6.27,6.03
juul pod alternative,81,156,1462,1784,5.54%,8.74%,8.7,6.55
best tank vape,81,0,1429,0,5.67%,0%,6.4,0
novo vape kit,81,0,682,0,11.88%,0%,4.56,0
pre filled novo pods,81,0,198,0,40.91%,0%,1.38,0
vape uk,80,0,4584,0,1.75%,0%,15.87,0
drag nano pod,80,0,4380,0,1.83%,0%,8.31,0
novo smok 2,80,0,1915,0,4.18%,0%,6.62,0
vape pena,80,0,1495,0,5.35%,0%,4.49,0
disposable vape tastes burnt,80,0,1396,0,5.73%,0%,3.22,0
nova smok,80,114,1142,1380,7.01%,8.26%,4.42,3.77
salt nic vape mod,80,69,1075,677,7.44%,10.19%,6.27,5.09
smok nord vs caliburn,80,112,1045,1942,7.66%,5.77%,5.9,7.41
salt nic vape devices,80,93,367,203,21.8%,45.81%,2.3,1.51
suorin air plus vs suorin air,80,215,201,591,39.8%,36.38%,1.86,1.49
smok nord vs,80,0,199,0,40.2%,0%,3.55,0
smok nord taste burnt with new coil,80,63,161,116,49.69%,54.31%,1.23,1.16
pod best seller,80,0,140,0,57.14%,0%,1.09,0
how long do vape coils last,79,71,1934,2138,4.08%,3.32%,5.46,6.88
pods terbaik 2019,79,70,1453,665,5.44%,10.53%,4.96,5.62
best aio vape,79,0,1349,0,5.86%,0%,9.71,0
novo wont charge,79,86,1208,1747,6.54%,4.92%,4.75,5.73
cleaning vape tank,79,91,657,610,12.02%,14.92%,1.11,1.12
smok salt nic devices,79,116,396,367,19.95%,31.61%,2.34,1.15
smok rpm salt nic coil,79,0,351,0,22.51%,0%,2.91,0
smallest pod vape,79,0,269,0,29.37%,0%,3.86,0
smok won't charge,79,0,189,0,41.8%,0%,1.16,0
best pod based vapes,79,0,158,0,50%,0%,1.57,0
best pod stick,79,0,135,0,58.52%,0%,1.02,0
best stealth vape,78,104,690,716,11.3%,14.53%,3.52,3.01
best vape mod for flavor,78,0,690,0,11.3%,0%,3.89,0
best salt nic vapes 2019,78,219,678,771,11.5%,28.4%,1.64,1.41
burnt coil taste,78,0,368,0,21.2%,0%,1.04,0
what is rta vape,78,163,343,655,22.74%,24.89%,1.05,1.03
latest pod vape,78,0,228,0,34.21%,0%,2.09,0
small vapes like juul,78,0,211,0,36.97%,0%,1.03,0
best smok pod system,78,0,187,0,41.71%,0%,1.89,0
vape websites,77,0,2052,0,3.75%,0%,17.47,0
smok nord coils free shipping,77,0,1166,0,6.6%,0%,8.42,0
cheap pod systems,77,0,1133,0,6.8%,0%,4.57,0
new pod systems,77,100,789,1008,9.76%,9.92%,3.62,3.93
small vape pods,77,0,674,0,11.42%,0%,2.29,0
best box mods 2020,77,0,626,0,12.3%,0%,5.59,0
novo 2 wattage,77,0,559,0,13.77%,0%,1.87,0
best mini vapes,77,0,339,0,22.71%,0%,4.66,0
which novo 2 pod is for salt nic,77,0,309,0,24.92%,0%,1.02,0
best salt nic device 2020,77,0,203,0,37.93%,0%,2.29,0
juul equivalent,77,0,195,0,39.49%,0%,2.82,0
best pod e cig,77,0,135,0,57.04%,0%,1.41,0
best small vapes 2019,77,127,126,218,61.11%,58.26%,1.01,1.04
novo 1,76,0,3176,0,2.39%,0%,8.75,0
salt nic vape,76,94,2374,2841,3.2%,3.31%,8.97,7.31
aspire mulus,76,0,2199,0,3.46%,0%,14.63,0
smok pod systems,76,0,1079,0,7.04%,0%,2.35,0
v8 stick smok,76,0,361,0,21.05%,0%,2.82,0
smok nord wont charge,76,204,246,845,30.89%,24.14%,1.76,2.04
smok novo 2 salt nic pod,76,0,168,0,45.24%,0%,1,0
smok mod,75,210,13418,16718,0.56%,1.26%,7.88,7.21
juice vape,75,202,10445,14597,0.72%,1.38%,9.43,7.4
pod terbaru,75,86,919,882,8.16%,9.75%,2.25,2.59
smok nord short circuit fix,75,708,892,2307,8.41%,30.69%,3.96,2.76
smok rpm40 not turning on,75,0,514,0,14.59%,0%,4.21,0
smok novo 2 wattage,75,0,336,0,22.32%,0%,2.12,0
best mod vape,74,172,2600,3591,2.85%,4.79%,9.54,8.05
vaporesso luxe mod,74,120,1795,2499,4.12%,4.8%,7.67,6.7
lowest nicotine vape,74,0,623,0,11.88%,0%,2.49,0
refillable pod vapes,74,0,453,0,16.34%,0%,4.62,0
teardrop shaped vape,74,93,208,309,35.58%,30.1%,1,1
difference between rda and rta,74,131,198,393,37.37%,33.33%,1.03,1.02
best draw activated vape,74,0,177,0,41.81%,0%,2.36,0
best open pod system,74,0,157,0,47.13%,0%,1.75,0
best pod ecig,74,120,123,225,60.16%,53.33%,1.27,4.12
vandy vape,73,99,18952,11096,0.39%,0.89%,8,10.34
best vape pen,73,0,7353,0,0.99%,0%,32.3,0
orion q pro,73,0,6643,0,1.1%,0%,9.31,0
best vaporesso kit,73,0,989,0,7.38%,0%,3.1,0
smok nord wont hit,73,65,745,1170,9.8%,5.56%,4.55,4.78
best nic salt mods,73,119,543,493,13.44%,24.14%,2.93,1.24
smok rpm40 problems,73,0,456,0,16.01%,0%,5.24,0
best pod mods 2019,73,0,355,0,20.56%,0%,2.3,0
priv n19 coils,73,0,313,0,23.32%,0%,2.55,0
juul alternative canada,73,0,231,0,31.6%,0%,1.61,0
best smok vape pen,73,0,223,0,32.74%,0%,2.24,0
vapes like the juul,73,0,195,0,37.44%,0%,2.31,0
obs cube mini,72,86,3988,4852,1.81%,1.77%,8.61,7.73
vape ahop,72,0,3771,0,1.91%,0%,2.78,0
vape alternative,72,66,2581,2454,2.79%,2.69%,7.22,5.83
suorin air plus pods,72,0,2349,0,3.07%,0%,9.91,0
free max twister,72,82,1573,2211,4.58%,3.71%,4.71,4.86
smok novo 2 charging light,72,0,1311,0,5.49%,0%,4.17,0
smok priv v8 coils,72,109,937,1066,7.68%,10.23%,3.47,3.81
smok rpm40 ohms too high,72,0,345,0,20.87%,0%,3.4,0
iqos or vape,72,141,250,424,28.8%,33.25%,4.16,3.07
things like juul,72,0,160,0,45%,0%,1.62,0
smok species ohms too high,72,73,128,128,56.25%,57.03%,1.03,1.11
latest pod system,72,0,125,0,57.6%,0%,1.23,0
whats better than juul,72,0,106,0,67.92%,0%,1.48,0
smok pod,71,0,24127,0,0.29%,0%,2.3,0
box mod kit,71,119,3150,2616,2.25%,4.55%,4.93,4.51
novo colors,71,115,2005,2815,3.54%,4.09%,1.15,1.18
smok mico price,71,101,996,738,7.13%,13.69%,3.53,2.42
smok.novo,71,84,981,1483,7.24%,5.66%,4.89,5.34
nic devices,71,0,657,0,10.81%,0%,2.6,0
best vape kit 2020,71,0,535,0,13.27%,0%,6.13,0
novo 2 juice,71,0,462,0,15.37%,0%,3.16,0
pod terbaik malaysia,71,0,341,0,20.82%,0%,6.06,0
vape tastes burnt with new coil,71,63,239,130,29.71%,48.46%,1.5,1.12
best salt nic pod,71,97,163,215,43.56%,45.12%,1.9,1.26
best refillable pod system 2019,71,0,149,0,47.65%,0%,1.87,0
smok morph ohms too high,71,0,138,0,51.45%,0%,1.31,0
nicotine salt,70,107,7586,7365,0.92%,1.45%,13.68,12.22
infinix vape,70,120,6742,8772,1.04%,1.37%,8.53,7.02
tarot baby,70,0,3839,0,1.82%,0%,8.87,0
smok t storm,70,0,2736,0,2.56%,0%,7.23,0
can vape juice go bad,70,0,2421,0,2.89%,0%,2.73,0
mod pod terbaik,70,0,1565,0,4.47%,0%,5.26,0
smok nord not turning on,70,264,1267,2169,5.52%,12.17%,5.19,3.73
vapes like juuls,70,70,346,266,20.23%,26.32%,2.26,1.83
best refillable pod vape 2020,70,0,190,0,36.84%,0%,1.29,0
smoking devices like juul,70,0,171,0,40.94%,0%,1.57,0
vaping kit,69,141,3676,3539,1.88%,3.98%,4.79,5.06
vaping juice,69,136,3271,4471,2.11%,3.04%,8.2,6.64
mini vapes,69,0,1957,0,3.53%,0%,7.33,0
resa stick smok,69,98,1505,1641,4.58%,5.97%,5.14,4.68
what is an rta,69,0,1437,0,4.8%,0%,1.21,0
refillable vapes,69,0,913,0,7.56%,0%,6.65,0
smok salt nic vapes,69,69,447,375,15.44%,18.4%,3.7,2.3
top vape mods 2020,69,0,374,0,18.45%,0%,4.6,0
rda,68,136,11798,61541,0.58%,0.22%,11.48,9.72
stick prince vape,68,0,4129,0,1.65%,0%,7.17,0
vaoe shop,68,68,2927,2757,2.32%,2.47%,2.84,3.4
mtl vape meaning,68,69,1605,2216,4.24%,3.11%,3.54,4.43
biggest vape tank,68,121,1150,1369,5.91%,8.84%,4.43,2.55
smok slm kit,68,0,480,0,14.17%,0%,3.23,0
small pod vape,68,0,327,0,20.8%,0%,2.16,0
best alternatives to juul,68,0,134,0,50.75%,0%,2.1,0
smok vape troubleshooting,68,0,99,0,68.69%,0%,1.33,0
coils,67,0,39035,0,0.17%,0%,10.22,0
vaporesso renova zero,67,80,4055,5572,1.65%,1.44%,9.69,9.44
smok x8,67,74,3121,3243,2.15%,2.28%,7.28,5.84
smok 2,67,0,2333,0,2.87%,0%,6.96,0
best tanks vape,67,85,1452,1179,4.61%,7.21%,5.76,6.06
kangertech nebox,67,0,1433,0,4.68%,0%,9.51,0
how to clean your vape,67,76,471,502,14.23%,15.14%,2.3,2.53
stig tastes burnt,67,0,305,0,21.97%,0%,3.97,0
best pod device 2019,67,0,279,0,24.01%,0%,1.66,0
juul dupes,67,0,134,0,50%,0%,2.5,0
best box mod,66,72,3133,3343,2.11%,2.15%,8.82,10.71
cvape,66,65,2592,2815,2.55%,2.31%,5.28,6.15
nicotine vape juice,66,67,1856,1629,3.56%,4.11%,16.27,22.02
skrr-s tank,66,0,1296,0,5.09%,0%,6.47,0
uwell caliburn vs smok nord,66,122,686,1430,9.62%,8.53%,5.09,6.58
smok models,66,0,310,0,21.29%,0%,1.84,0
ipv aspect pods,66,83,251,223,26.29%,37.22%,2.87,1.97
best vaporesso mod,66,0,228,0,28.95%,0%,2.36,0
